customer_id,first_name,last_name,email,signup_date,acquisition_channel,customer_segment,city,country,first_purchase_date,last_purchase_date,frequency,gross_monetary,total_refunded,net_monetary,total_quantity,returns_count,recency,return_rate,tenure_days
CUST00016,Charlotte,Rodriguez,charlotte.rodriguez91@example.com,2025-12-05,Email,,San Francisco,United States,2025-12-26,2026-02-11,2,327.83,0.0,327.83,3,0,140.0,0.0,208
CUST00017,Sofia,Harris,sofia.harris17@example.com,2024-08-22,Organic,,San Francisco,United States,2024-11-01,2026-02-02,2,535.56,535.56,0.0,5,2,149.0,1.0,678
CUST00018,Charlotte,Rodriguez,charlotte.rodriguez18@example.com,2024-08-04,Referral,,Denver,United States,2025-05-17,2026-01-26,2,562.22,484.22,78.0,4,1,156.0,0.5,696
CUST00019,Avery,Thompson,avery.thompson50@example.com,2024-08-05,Email,,Seattle,United States,2024-11-08,2026-02-21,10,1051.29,352.72,698.57,15,3,130.0,0.3,695
CUST00020,Avery,Robinson,avery.robinson92@example.com,2025-04-14,Google Ads,,Chicago,United States,2025-05-08,2026-02-09,5,722.72,0.0,722.72,6,0,142.0,0.0,443
CUST00021,Elijah,White,elijah.white81@example.com,2025-07-05,Google Ads,,Denver,United States,2025-10-11,2025-10-11,1,223.71,0.0,223.71,3,0,263.0,0.0,361
CUST00022,Lucas,Lewis,lucas.lewis84@example.com,2025-02-12,Meta Ads,,Chicago,United States,2025-05-28,2026-05-12,10,1386.79,255.18,1131.6100000000001,14,2,50.0,0.2,504
CUST00023,Harper,Thomas,harper.thomas21@example.com,2026-02-12,Google Ads,,Los Angeles,United States,2026-03-01,2026-06-28,2,292.31,0.0,292.31,2,0,3.0,0.0,139
CUST00024,Ava,Lee,ava.lee30@example.com,2026-03-22,Email,,Denver,United States,2026-04-17,2026-06-14,6,747.28,0.0,747.28,8,0,17.0,0.0,101
CUST00025,Olivia,Gonzalez,olivia.gonzalez58@example.com,2025-09-02,Referral,,Austin,United States,2025-09-05,2026-06-20,8,859.8199999999999,185.72,674.1,12,1,11.0,0.125,302
CUST00026,Isabella,Moore,isabella.moore11@example.com,2025-11-27,Organic,,Austin,United States,2025-12-24,2026-03-28,2,479.93000000000006,479.93000000000006,0.0,5,2,95.0,1.0,216
CUST00027,Elizabeth,Rodriguez,elizabeth.rodriguez92@example.com,2024-12-14,Google Ads,,Seattle,United States,2025-02-05,2025-10-11,4,418.37,0.0,418.37,6,0,263.0,0.0,564
CUST00028,Oliver,Anderson,oliver.anderson10@example.com,2026-01-09,Organic,,Miami,United States,2026-01-20,2026-01-24,2,68.39,0.0,68.39,2,0,158.0,0.0,173
CUST00029,Harper,Harris,harper.harris32@example.com,2025-06-03,Referral,,Miami,United States,2025-06-30,2026-03-16,5,474.67,77.64,397.03000000000003,8,1,107.0,0.2,393
CUST00030,Sofia,Lee,sofia.lee74@example.com,2025-09-15,Google Ads,,San Francisco,United States,2025-10-07,2026-03-18,2,110.78,0.0,110.78,2,0,105.0,0.0,289
CUST00031,Elizabeth,Garcia,elizabeth.garcia79@example.com,2026-03-08,Referral,,New York,United States,2026-04-03,2026-06-19,6,1059.35,0.0,1059.35,9,0,12.0,0.0,115
CUST00032,Alexander,Hernandez,alexander.hernandez72@example.com,2024-01-20,Google Ads,,San Francisco,United States,2025-03-05,2026-04-08,3,300.03999999999996,0.0,300.03999999999996,3,0,84.0,0.0,893
CUST00033,Avery,Clark,avery.clark49@example.com,2024-09-02,Google Ads,,Denver,United States,2025-06-08,2025-09-28,2,257.94,210.73,47.21,3,1,276.0,0.5,667
CUST00034,Olivia,Williams,olivia.williams72@example.com,2024-03-11,Referral,,Austin,United States,2024-12-17,2024-12-17,1,149.74,0.0,149.74,2,0,561.0,0.0,842
CUST00035,Elizabeth,Jones,elizabeth.jones26@example.com,2025-11-06,Meta Ads,,Austin,United States,2026-04-03,2026-05-18,2,117.23,0.0,117.23,2,0,44.0,0.0,237
CUST00036,Oliver,Rodriguez,oliver.rodriguez77@example.com,2025-09-13,Meta Ads,,Houston,United States,2025-12-18,2026-04-25,5,702.9300000000001,0.0,702.9300000000001,9,0,67.0,0.0,291
CUST00037,Logan,Moore,logan.moore98@example.com,2024-07-24,Organic,,Seattle,United States,2024-09-20,2026-05-30,9,1526.38,140.15,1386.23,11,1,32.0,0.1111111111111111,707
CUST00038,Henry,Lee,henry.lee57@example.com,2025-03-24,Organic,,Boston,United States,2025-04-15,2025-12-08,3,242.43,0.0,242.43,3,0,205.0,0.0,464
CUST00039,Noah,Davis,noah.davis38@example.com,2024-03-06,Meta Ads,,Denver,United States,2024-07-11,2026-04-04,3,193.38,0.0,193.38,3,0,88.0,0.0,847
CUST00040,Ethan,Davis,ethan.davis85@example.com,2024-08-13,Google Ads,,New York,United States,2024-08-29,2024-11-14,2,240.89000000000001,0.0,240.89000000000001,3,0,594.0,0.0,687
CUST00041,Elijah,Williams,elijah.williams14@example.com,2024-12-04,Google Ads,,Houston,United States,2025-07-04,2026-06-11,3,442.84,261.08,181.76,6,1,20.0,0.3333333333333333,574
CUST00042,Isabella,Perez,isabella.perez72@example.com,2024-08-07,Meta Ads,,Denver,United States,2025-09-08,2025-09-08,1,51.3,0.0,51.3,1,0,296.0,0.0,693
CUST00043,Evelyn,Thomas,evelyn.thomas41@example.com,2026-03-14,Meta Ads,,Seattle,United States,2026-05-27,2026-05-27,1,108.75,0.0,108.75,1,0,35.0,0.0,109
CUST00044,Sophia,Brown,sophia.brown22@example.com,2025-11-05,Meta Ads,,Seattle,United States,2025-11-20,2026-05-17,7,531.96,191.38,340.58,11,1,45.0,0.14285714285714285,238
CUST00045,Lucas,Anderson,lucas.anderson16@example.com,2025-11-20,Email,,Los Angeles,United States,2026-02-20,2026-02-20,1,120.61,120.61,0.0,1,1,131.0,1.0,223
CUST00046,Liam,Gonzalez,liam.gonzalez53@example.com,2026-03-30,Organic,,Houston,United States,2026-04-09,2026-04-09,1,75.49,0.0,75.49,1,0,83.0,0.0,93
CUST00047,Sophia,Miller,sophia.miller78@example.com,2025-04-04,Google Ads,,Chicago,United States,2025-05-10,2025-09-21,2,325.75,0.0,325.75,3,0,283.0,0.0,453
CUST00048,Isabella,Anderson,isabella.anderson41@example.com,2024-03-18,Meta Ads,,Austin,United States,2024-04-26,2025-10-18,5,525.44,0.0,525.44,5,0,256.0,0.0,835
CUST00049,Noah,Johnson,noah.johnson93@example.com,2025-07-07,Organic,,Los Angeles,United States,2025-12-08,2026-06-09,7,703.81,0.0,703.81,9,0,22.0,0.0,359
CUST00050,Logan,Harris,logan.harris40@example.com,2024-06-19,Meta Ads,,Boston,United States,2025-03-18,2026-02-27,6,1044.69,0.0,1044.69,10,0,124.0,0.0,742
CUST00051,Sophia,Ramirez,sophia.ramirez61@example.com,2024-03-01,Google Ads,,New York,United States,2024-09-16,2025-11-12,4,385.81,69.29,316.52,7,1,231.0,0.25,852
CUST00052,Charlotte,Rodriguez,charlotte.rodriguez68@example.com,2024-10-19,Meta Ads,,Austin,United States,2025-06-05,2026-06-26,4,393.5,0.0,393.5,6,0,5.0,0.0,620
CUST00053,Henry,Thompson,henry.thompson72@example.com,2024-06-07,Google Ads,,Houston,United States,2024-09-24,2025-07-16,3,365.97,0.0,365.97,3,0,350.0,0.0,754
CUST00054,Liam,Jackson,liam.jackson79@example.com,2024-03-03,Organic,,New York,United States,2024-10-04,2026-06-10,6,1029.03,99.68,929.35,13,1,21.0,0.16666666666666666,850
CUST00055,Liam,Jackson,liam.jackson71@example.com,2025-05-29,Referral,,Austin,United States,2025-06-15,2026-02-03,5,748.86,0.0,748.86,6,0,148.0,0.0,398
CUST00056,Oliver,Johnson,oliver.johnson75@example.com,2024-03-23,Organic,,Los Angeles,United States,2024-05-27,2026-06-03,6,427.37,128.4,298.96999999999997,7,1,28.0,0.16666666666666666,830
CUST00057,Alexander,Williams,alexander.williams96@example.com,2024-08-28,Meta Ads,,Denver,United States,2024-11-12,2026-05-27,3,428.44,0.0,428.44,3,0,35.0,0.0,672
CUST00058,Elijah,Jackson,elijah.jackson86@example.com,2024-02-10,Email,,Seattle,United States,2024-04-29,2025-10-20,6,825.41,0.0,825.41,7,0,254.0,0.0,872
CUST00059,Henry,Jackson,henry.jackson82@example.com,2025-06-19,Meta Ads,,Miami,United States,2025-10-24,2026-06-01,4,465.46000000000004,65.76,399.70000000000005,6,1,30.0,0.25,377
CUST00060,Sophia,Perez,sophia.perez50@example.com,2024-09-01,Google Ads,,Chicago,United States,2026-03-02,2026-03-02,1,230.83,0.0,230.83,1,0,121.0,0.0,668
CUST00061,Henry,Lee,henry.lee48@example.com,2025-04-13,Meta Ads,,Los Angeles,United States,2025-07-08,2026-05-09,4,531.81,329.37,202.44,6,1,53.0,0.25,444
CUST00062,Emma,Anderson,emma.anderson89@example.com,2025-07-30,Referral,,Los Angeles,United States,2025-11-02,2025-11-02,1,65.2,65.2,0.0,1,1,241.0,1.0,336
CUST00063,Ethan,Miller,ethan.miller74@example.com,2024-09-28,Google Ads,,San Francisco,United States,2025-10-16,2025-10-16,1,271.43,0.0,271.43,1,0,258.0,0.0,641
CUST00064,Avery,Williams,avery.williams41@example.com,2025-01-13,Google Ads,,Boston,United States,2025-01-18,2026-04-02,3,680.84,654.95,25.89,5,2,90.0,0.6666666666666666,534
CUST00065,Sofia,Moore,sofia.moore48@example.com,2025-09-18,Referral,,Austin,United States,2025-09-22,2026-05-21,3,686.97,0.0,686.97,5,0,41.0,0.0,286
CUST00066,Emma,Perez,emma.perez80@example.com,2024-11-02,Referral,,Los Angeles,United States,2024-12-24,2025-11-26,3,299.76,155.02,144.74,3,1,217.0,0.3333333333333333,606
CUST00067,Avery,Jones,avery.jones43@example.com,2024-04-28,Organic,,Austin,United States,2025-05-05,2025-09-13,2,434.74,0.0,434.74,3,0,291.0,0.0,794
CUST00068,Ava,Rodriguez,ava.rodriguez46@example.com,2025-09-11,Google Ads,,San Francisco,United States,2025-10-02,2026-04-27,5,743.45,51.04,692.4100000000001,8,1,65.0,0.2,293
CUST00069,Sophia,Perez,sophia.perez91@example.com,2024-09-27,Meta Ads,,Miami,United States,2025-04-26,2026-06-10,3,245.51999999999998,93.39,152.13,3,1,21.0,0.3333333333333333,642
CUST00070,Avery,Robinson,avery.robinson16@example.com,2024-04-04,Email,,Miami,United States,2025-04-16,2025-04-16,1,221.95,0.0,221.95,1,0,441.0,0.0,818
CUST00071,Liam,Smith,liam.smith52@example.com,2026-02-28,Google Ads,,Miami,United States,2026-03-01,2026-06-12,2,471.53000000000003,0.0,471.53000000000003,3,0,19.0,0.0,123
CUST00072,Oliver,White,oliver.white66@example.com,2025-07-18,Organic,,Austin,United States,2025-12-31,2025-12-31,1,201.9,0.0,201.9,1,0,182.0,0.0,348
CUST00073,Emma,Brown,emma.brown19@example.com,2025-12-08,Referral,,Austin,United States,2025-12-31,2026-04-13,3,190.3,0.0,190.3,3,0,79.0,0.0,205
CUST00074,Liam,Clark,liam.clark57@example.com,2025-08-19,Email,,Seattle,United States,2025-08-25,2025-09-10,2,116.42,0.0,116.42,2,0,294.0,0.0,316
CUST00075,Ava,Johnson,ava.johnson49@example.com,2025-01-08,Organic,,New York,United States,2025-03-06,2025-09-14,2,217.18,149.56,67.62,2,1,290.0,0.5,539
CUST00076,Avery,Lopez,avery.lopez36@example.com,2025-11-29,Google Ads,,Los Angeles,United States,2025-12-25,2026-04-03,8,997.1700000000001,0.0,997.1700000000001,10,0,89.0,0.0,214
CUST00077,Benjamin,Harris,benjamin.harris81@example.com,2025-02-20,Referral,,Chicago,United States,2025-02-21,2026-06-25,12,1046.57,32.01,1014.5600000000001,14,1,6.0,0.08333333333333333,496
CUST00078,Logan,Robinson,logan.robinson40@example.com,2024-06-15,Referral,,Chicago,United States,2024-06-26,2026-02-16,4,263.57,74.07,189.5,4,1,135.0,0.25,746
CUST00079,Avery,Wilson,avery.wilson13@example.com,2024-07-02,Organic,,San Francisco,United States,2024-10-05,2026-05-30,5,447.12,0.0,447.12,7,0,32.0,0.0,729
CUST00080,Michael,Robinson,michael.robinson62@example.com,2025-11-16,Organic,,Houston,United States,2025-12-17,2025-12-17,1,178.85,178.85,0.0,1,1,196.0,1.0,227
CUST00081,Isabella,Garcia,isabella.garcia99@example.com,2024-04-20,Meta Ads,,New York,United States,2025-09-20,2025-09-20,1,181.33,0.0,181.33,1,0,284.0,0.0,802
CUST00082,Daniel,Thomas,daniel.thomas38@example.com,2024-07-23,Organic,,Boston,United States,2024-11-07,2024-11-07,1,186.09,0.0,186.09,1,0,601.0,0.0,708
CUST00083,Benjamin,Martinez,benjamin.martinez39@example.com,2024-08-16,Google Ads,,Houston,United States,2025-12-05,2026-02-14,2,220.26,0.0,220.26,2,0,137.0,0.0,684
CUST00084,Charlotte,Hernandez,charlotte.hernandez45@example.com,2024-03-12,Referral,,Miami,United States,2024-08-08,2025-12-27,3,335.55,0.0,335.55,6,0,186.0,0.0,841
CUST00085,Benjamin,Lee,benjamin.lee75@example.com,2025-02-13,Email,,Austin,United States,2025-05-18,2026-04-14,3,336.42,0.0,336.42,3,0,78.0,0.0,503
CUST00086,Mia,Smith,mia.smith24@example.com,2024-09-24,Google Ads,,Miami,United States,2024-09-27,2026-05-09,17,2367.32,373.33000000000004,1993.99,20,2,53.0,0.11764705882352941,645
CUST00087,Liam,Brown,liam.brown86@example.com,2025-03-20,Meta Ads,,San Francisco,United States,2026-02-06,2026-02-06,1,207.92,0.0,207.92,1,0,145.0,0.0,468
CUST00088,Lucas,Martin,lucas.martin75@example.com,2024-04-28,Meta Ads,,Denver,United States,2024-06-19,2026-03-04,6,830.11,220.17000000000002,609.94,10,2,119.0,0.3333333333333333,794
CUST00089,Sophia,Rodriguez,sophia.rodriguez15@example.com,2025-12-26,Meta Ads,,Austin,United States,2026-01-18,2026-01-18,1,415.52,0.0,415.52,2,0,164.0,0.0,187
CUST00090,Logan,Sanchez,logan.sanchez78@example.com,2025-12-04,Organic,,Houston,United States,2025-12-30,2026-06-25,8,948.34,211.62,736.72,9,3,6.0,0.375,209
CUST00091,Benjamin,Wilson,benjamin.wilson18@example.com,2025-11-11,Referral,,Denver,United States,2025-11-12,2026-06-28,9,1270.68,737.24,533.44,12,4,3.0,0.4444444444444444,232
CUST00092,Mia,Perez,mia.perez25@example.com,2026-01-07,Referral,,Austin,United States,2026-03-01,2026-04-04,2,340.44,0.0,340.44,5,0,88.0,0.0,175
CUST00093,James,Perez,james.perez62@example.com,2024-11-30,Meta Ads,,Miami,United States,2025-10-10,2025-10-10,1,108.24,108.24,0.0,1,1,264.0,1.0,578
CUST00094,Ethan,Jones,ethan.jones34@example.com,2025-03-06,Email,,Seattle,United States,2025-05-05,2026-06-23,4,486.02,0.0,486.02,4,0,8.0,0.0,482
CUST00095,Henry,White,henry.white32@example.com,2025-09-22,Email,,Seattle,United States,2025-09-23,2026-06-06,19,2811.31,442.05999999999995,2369.25,28,3,25.0,0.15789473684210525,282
CUST00096,Ethan,Clark,ethan.clark10@example.com,2024-11-07,Google Ads,,Seattle,United States,2026-01-01,2026-02-22,3,267.28999999999996,0.0,267.28999999999996,5,0,129.0,0.0,601
CUST00097,Michael,Jackson,michael.jackson87@example.com,2025-11-01,Meta Ads,,Boston,United States,2026-04-16,2026-04-16,1,28.41,0.0,28.41,1,0,76.0,0.0,242
CUST00098,Amelia,Perez,amelia.perez37@example.com,2025-06-07,Meta Ads,,Chicago,United States,2025-07-04,2026-06-21,8,585.72,20.55,565.1700000000001,9,1,10.0,0.125,389
CUST00099,Henry,Williams,henry.williams46@example.com,2025-06-11,Email,,Denver,United States,2025-06-15,2025-10-30,2,105.00999999999999,0.0,105.00999999999999,2,0,244.0,0.0,385
CUST00100,Mia,Williams,mia.williams40@example.com,2025-11-19,Meta Ads,,Houston,United States,2026-04-23,2026-04-23,1,70.28,0.0,70.28,1,0,69.0,0.0,224
CUST00101,Ava,Smith,ava.smith15@example.com,2024-09-07,Referral,,Denver,United States,2024-10-07,2026-06-01,10,968.44,84.73,883.71,15,1,30.0,0.1,662
CUST00102,Daniel,Harris,daniel.harris19@example.com,2025-04-11,Meta Ads,,Denver,United States,2026-02-17,2026-02-17,1,50.01,0.0,50.01,1,0,134.0,0.0,446
CUST00103,Sophia,Thompson,sophia.thompson99@example.com,2025-01-28,Meta Ads,,Houston,United States,2025-03-29,2026-01-05,2,255.29,192.2,63.09,2,1,177.0,0.5,519
CUST00104,Ava,Lee,ava.lee98@example.com,2024-01-06,Organic,,Los Angeles,United States,2024-03-28,2025-07-23,5,152.04,0.0,152.04,5,0,343.0,0.0,907
CUST00105,Elizabeth,Wilson,elizabeth.wilson38@example.com,2024-06-29,Organic,,Austin,United States,2024-08-26,2025-09-21,7,812.58,24.09,788.49,8,1,283.0,0.14285714285714285,732
CUST00106,Amelia,Johnson,amelia.johnson81@example.com,2024-09-12,Referral,,Los Angeles,United States,2024-10-27,2025-12-10,3,914.79,0.0,914.79,6,0,203.0,0.0,657
CUST00107,Amelia,Jones,amelia.jones69@example.com,2025-11-14,Meta Ads,,Austin,United States,2025-12-11,2026-05-17,4,890.88,0.0,890.88,7,0,45.0,0.0,229
CUST00108,Alexander,Hernandez,alexander.hernandez66@example.com,2025-09-19,Organic,,Austin,United States,2025-09-23,2026-06-30,15,2629.98,203.35999999999999,2426.62,26,2,1.0,0.13333333333333333,285
CUST00109,Lucas,Clark,lucas.clark80@example.com,2025-04-01,Organic,,Boston,United States,2025-05-12,2026-01-20,7,1007.45,585.58,421.87,14,3,162.0,0.42857142857142855,456
CUST00110,Amelia,Rodriguez,amelia.rodriguez41@example.com,2025-10-14,Google Ads,,Austin,United States,2025-12-26,2026-05-20,7,2495.0299999999997,307.35,2187.68,14,2,42.0,0.2857142857142857,260
CUST00111,Mason,Lee,mason.lee40@example.com,2024-10-08,Meta Ads,,Miami,United States,2025-07-17,2026-03-17,5,447.74,0.0,447.74,7,0,106.0,0.0,631
CUST00112,Elijah,Rodriguez,elijah.rodriguez52@example.com,2024-11-23,Organic,,Los Angeles,United States,2025-05-26,2026-05-20,6,797.9000000000001,0.0,797.9000000000001,8,0,42.0,0.0,585
CUST00113,Ava,Jones,ava.jones39@example.com,2025-01-27,Email,,Houston,United States,2026-01-09,2026-01-09,1,63.93,0.0,63.93,1,0,173.0,0.0,520
CUST00114,Olivia,Wilson,olivia.wilson62@example.com,2024-12-04,Meta Ads,,Seattle,United States,2024-12-24,2024-12-24,1,67.14,0.0,67.14,2,0,554.0,0.0,574
CUST00115,Liam,Miller,liam.miller63@example.com,2025-02-02,Referral,,Denver,United States,2025-07-12,2026-03-14,6,509.26,260.6,248.66,10,2,109.0,0.3333333333333333,514
CUST00116,Emily,Smith,emily.smith83@example.com,2025-01-24,Meta Ads,,San Francisco,United States,2025-11-05,2026-03-16,2,604.1500000000001,0.0,604.1500000000001,3,0,107.0,0.0,523
CUST00117,James,Harris,james.harris59@example.com,2025-03-05,Meta Ads,,Austin,United States,2025-04-29,2026-01-28,2,312.15,0.0,312.15,2,0,154.0,0.0,483
CUST00118,Michael,Martin,michael.martin38@example.com,2025-05-14,Google Ads,,Seattle,United States,2025-09-20,2026-01-21,4,443.52000000000004,0.0,443.52000000000004,6,0,161.0,0.0,413
CUST00119,Mason,Smith,mason.smith59@example.com,2024-12-10,Email,,Seattle,United States,2025-05-02,2026-05-31,3,329.57,0.0,329.57,3,0,31.0,0.0,568
CUST00120,Jacob,Garcia,jacob.garcia69@example.com,2024-05-10,Referral,,Austin,United States,2024-05-20,2026-05-12,6,940.1800000000001,833.01,107.17,8,2,50.0,0.3333333333333333,782
CUST00121,Emma,Robinson,emma.robinson60@example.com,2025-08-29,Email,,New York,United States,2025-08-29,2025-08-29,1,242.05,0.0,242.05,1,0,306.0,0.0,306
CUST00122,Olivia,Lee,olivia.lee64@example.com,2024-05-18,Organic,,Chicago,United States,2025-05-16,2026-05-11,6,994.32,133.97,860.35,8,1,51.0,0.16666666666666666,774
CUST00123,Liam,Rodriguez,liam.rodriguez58@example.com,2024-12-01,Google Ads,,San Francisco,United States,2025-01-09,2026-06-12,4,913.3199999999999,159.68,753.64,9,1,19.0,0.25,577
CUST00124,Mia,Harris,mia.harris58@example.com,2024-10-11,Organic,,Seattle,United States,2024-12-12,2024-12-16,2,121.80000000000001,0.0,121.80000000000001,3,0,562.0,0.0,628
CUST00125,Isabella,Clark,isabella.clark20@example.com,2025-04-26,Google Ads,,Austin,United States,2025-12-20,2026-06-28,3,351.09999999999997,0.0,351.09999999999997,5,0,3.0,0.0,431
CUST00126,Liam,Lopez,liam.lopez38@example.com,2025-10-27,Google Ads,,New York,United States,2025-12-14,2026-05-28,3,511.70000000000005,0.0,511.70000000000005,4,0,34.0,0.0,247
CUST00127,Elizabeth,Smith,elizabeth.smith41@example.com,2024-07-23,Organic,,Denver,United States,2025-12-20,2026-02-07,2,280.32,0.0,280.32,2,0,144.0,0.0,708
CUST00128,Ava,Davis,ava.davis26@example.com,2025-04-29,Email,,Denver,United States,2025-05-03,2025-10-29,2,194.57,0.0,194.57,2,0,245.0,0.0,428
CUST00129,Sophia,Anderson,sophia.anderson99@example.com,2024-09-19,Organic,,Chicago,United States,2025-05-26,2026-05-27,7,1352.76,0.0,1352.76,12,0,35.0,0.0,650
CUST00130,Alexander,Martin,alexander.martin24@example.com,2026-03-07,Organic,,Miami,United States,2026-03-16,2026-05-31,6,822.06,0.0,822.06,8,0,31.0,0.0,116
CUST00131,Noah,Jackson,noah.jackson13@example.com,2024-11-15,Email,,Seattle,United States,2025-12-01,2026-04-13,4,798.9300000000001,0.0,798.9300000000001,5,0,79.0,0.0,593
CUST00132,Charlotte,Thompson,charlotte.thompson35@example.com,2024-03-18,Email,,Houston,United States,2025-01-16,2025-02-13,2,136.31,45.11,91.2,2,1,503.0,0.5,835
CUST00133,Noah,Thompson,noah.thompson48@example.com,2025-12-01,Email,,Los Angeles,United States,2025-12-10,2026-06-26,18,2919.77,544.01,2375.7599999999998,28,2,5.0,0.1111111111111111,212
CUST00134,Michael,Jackson,michael.jackson15@example.com,2024-12-21,Meta Ads,,San Francisco,United States,2025-01-13,2026-05-28,8,1985.46,58.87,1926.59,15,1,34.0,0.125,557
CUST00135,Olivia,Taylor,olivia.taylor92@example.com,2024-12-15,Google Ads,,Seattle,United States,2025-08-20,2026-04-23,2,249.08999999999997,0.0,249.08999999999997,2,0,69.0,0.0,563
CUST00136,Sofia,Thomas,sofia.thomas23@example.com,2025-03-19,Referral,,Boston,United States,2025-09-20,2026-06-12,4,432.18,101.62,330.56,5,1,19.0,0.25,469
CUST00137,Emily,Jones,emily.jones65@example.com,2024-06-29,Organic,,Miami,United States,2024-07-13,2026-05-14,10,779.3199999999999,78.54,700.78,16,1,48.0,0.1,732
CUST00138,Alexander,Sanchez,alexander.sanchez78@example.com,2026-03-04,Meta Ads,,Seattle,United States,2026-04-08,2026-05-29,6,494.61,95.01,399.6,7,1,33.0,0.16666666666666666,119
CUST00139,Sofia,White,sofia.white85@example.com,2024-10-01,Meta Ads,,Houston,United States,2024-10-06,2026-04-30,20,3137.41,0.0,3137.41,25,0,62.0,0.0,638
CUST00140,Sofia,Robinson,sofia.robinson21@example.com,2024-10-12,Organic,,Houston,United States,2025-02-16,2026-06-08,3,493.74,207.52,286.21999999999997,6,1,23.0,0.3333333333333333,627
CUST00141,Elizabeth,Anderson,elizabeth.anderson82@example.com,2025-09-16,Email,,San Francisco,United States,2025-10-19,2026-04-26,7,830.03,0.0,830.03,10,0,66.0,0.0,288
CUST00142,Emma,Thomas,emma.thomas51@example.com,2024-07-05,Meta Ads,,San Francisco,United States,,,0,0.0,0.0,0.0,0,0,,0.0,726
CUST00143,Michael,Rodriguez,michael.rodriguez53@example.com,2024-10-13,Organic,,Miami,United States,2024-10-13,2026-06-22,4,428.85,262.73,166.12,5,2,9.0,0.5,626
CUST00144,Ethan,Smith,ethan.smith76@example.com,2024-07-14,Google Ads,,Seattle,United States,2024-08-18,2026-04-22,5,654.6600000000001,51.25,603.4100000000001,6,1,70.0,0.2,717
CUST00145,Mason,Moore,mason.moore40@example.com,2025-12-08,Meta Ads,,Boston,United States,2026-01-09,2026-06-08,5,308.65,0.0,308.65,5,0,23.0,0.0,205
CUST00146,Amelia,Sanchez,amelia.sanchez12@example.com,2024-04-05,Google Ads,,Seattle,United States,2025-06-10,2025-09-21,2,299.79,0.0,299.79,2,0,283.0,0.0,817
CUST00147,Emily,Davis,emily.davis49@example.com,2025-11-10,Email,,Boston,United States,2026-01-11,2026-06-04,3,257.71999999999997,0.0,257.71999999999997,3,0,27.0,0.0,233
